Time,VirtualPosition,RealPosition,Recommendation
"2022-05-17 21:09:52","(-0.278986,1.070525,-0.633961)","(-0.500700,0.964754,-0.408128)",0.000000
"2022-05-17 21:09:52","(-0.306314,1.068696,-0.603596)","(-0.585832,1.049988,-0.293011)",0.000000
"2022-05-17 21:09:52","(-0.333843,1.068946,-0.566892)","(-0.615424,1.071503,-0.191463)",0.000000
"2022-05-17 21:09:53","(-0.353763,1.077183,-0.541390)","(-0.557517,1.161434,-0.280553)",0.000000
"2022-05-17 21:09:53","(-0.381204,1.086450,-0.510440)","(-0.661873,1.181236,-0.193870)",0.000000
"2022-05-17 21:09:53","(-0.403260,1.092473,-0.488587)","(-0.628866,1.154079,-0.265067)",0.000000
"2022-05-17 21:09:53","(-0.433460,1.099954,-0.460789)","(-0.742350,1.176472,-0.176452)",0.000000
"2022-05-17 21:09:53","(-0.464827,1.103513,-0.433042)","(-0.785659,1.139916,-0.149233)",0.000000
"2022-05-17 21:09:53","(-0.488604,1.102500,-0.413104)","(-0.731804,1.092138,-0.209170)",0.000000
"2022-05-17 21:09:53","(-0.521430,1.098964,-0.386088)","(-0.857192,1.062796,-0.109760)",0.000000
"2022-05-17 21:09:53","(-0.555290,1.095958,-0.360996)","(-0.901625,1.065212,-0.104348)",0.000000
"2022-05-17 21:09:53","(-0.580383,1.092481,-0.343779)","(-0.837038,1.056917,-0.167670)",0.000000
"2022-05-17 21:09:53","(-0.612263,1.088849,-0.325640)","(-0.938350,1.051699,-0.140113)",0.000000
"2022-05-17 21:09:53","(-0.638040,1.089722,-0.312721)","(-0.901699,1.098652,-0.180582)",0.000000
"2022-05-17 21:09:53","(-0.678328,1.101120,-0.291466)","(-1.090412,1.217703,-0.074060)",0.000000
"2022-05-17 21:09:53","(-0.712453,1.105493,-0.272812)","(-1.061495,1.150221,-0.082014)",RESET:110.000000
"2022-05-17 21:09:53","(-0.735563,1.107088,-0.259563)","(-0.971942,1.123402,-0.124043)",0.000000
"2022-05-17 21:09:53","(-0.769895,1.112043,-0.239371)","(-1.121050,1.162725,-0.032837)",0.000000
"2022-05-17 21:09:53","(-0.801964,1.117209,-0.217863)","(-1.129986,1.170048,0.002132)",0.000000
"2022-05-17 21:09:53","(-0.820903,1.126633,-0.195541)","(-1.014610,1.223026,0.032769)",0.000000
"2022-05-17 21:09:57","(-0.010860,1.163324,1.945439)","(8.274578,1.538614,23.844243)",0.000000
"2022-05-17 21:09:57","(0.023481,1.162305,1.970818)","(0.374738,1.151882,2.230405)",0.000000
"2022-05-17 21:09:57","(0.050057,1.161064,1.991944)","(0.321886,1.148371,2.208028)",0.000000
"2022-05-17 21:09:57","(0.085242,1.155148,2.021691)","(0.445123,1.094637,2.325957)",0.000000
"2022-05-17 21:09:58","(0.117554,1.143873,2.051116)","(0.448058,1.028547,2.352086)",0.000000
"2022-05-17 21:09:58","(0.140081,1.138675,2.073946)","(0.370493,1.085508,2.307460)",0.000000
"2022-05-17 21:09:58","(0.171682,1.145116,2.106279)","(0.494914,1.210997,2.436993)",0.000000
"2022-05-17 21:09:58","(0.196289,1.148856,2.130330)","(0.447974,1.187111,2.376335)",0.000000
"2022-05-17 21:09:58","(0.225115,1.147726,2.158455)","(0.519965,1.136168,2.446127)",0.000000
"2022-05-17 21:09:58","(0.256900,1.154171,2.186032)","(0.582003,1.220092,2.468102)",0.000000
"2022-05-17 21:09:58","(0.281237,1.158139,2.205967)","(0.530171,1.198725,2.409869)",0.000000
"2022-05-17 21:09:58","(0.314416,1.163436,2.231246)","(0.653785,1.217617,2.489810)",0.000000
"2022-05-17 21:09:58","(0.346267,1.163254,2.255205)","(0.672052,1.161392,2.500266)",0.000000
"2022-05-17 21:09:58","(0.371531,1.163040,2.273680)","(0.629935,1.160851,2.462650)",0.000000
"2022-05-17 21:09:58","(0.407831,1.160056,2.299407)","(0.779128,1.129534,2.562553)",0.000000
"2022-05-17 21:09:58","(0.437567,1.154711,2.318507)","(0.741720,1.100040,2.513869)",0.000000
"2022-05-17 21:09:59","(0.476623,1.146392,2.343386)","(0.876100,1.061302,2.597858)",RESET:110.000000
"2022-05-17 21:09:59","(0.516525,1.137545,2.367850)","(0.924661,1.047054,2.618079)",0.000000
"2022-05-17 21:09:59","(0.546155,1.130956,2.385552)","(0.849218,1.063562,2.566614)",0.000000
"2022-05-17 21:09:59","(0.589506,1.134707,2.412135)","(1.032914,1.173073,2.684036)",0.000000
"2022-05-17 21:09:59","(0.630269,1.139480,2.436471)","(1.047208,1.188300,2.685390)",0.000000
"2022-05-17 21:09:59","(0.659401,1.136667,2.454686)","(0.957385,1.107895,2.640996)",0.000000
"2022-05-17 21:09:59","(0.700837,1.137257,2.480788)","(1.124656,1.143291,2.747770)",0.000000
"2022-05-17 21:09:59","(0.731704,1.139798,2.500359)","(1.047424,1.165789,2.700540)",0.000000
"2022-05-17 21:09:59","(0.770273,1.139987,2.526191)","(1.164773,1.141920,2.790410)",0.000000
"2022-05-17 21:10:03","(2.248706,1.040713,0.594097)","(17.370711,0.025298,-19.168133)",0.000000
"2022-05-17 21:10:03","(2.257089,1.042243,0.561767)","(2.342832,1.057893,0.231078)",0.000000
"2022-05-17 21:10:03","(2.268591,1.044372,0.518584)","(2.386238,1.066148,0.076892)",0.000000
"2022-05-17 21:10:03","(2.280168,1.044375,0.473852)","(2.398584,1.044405,0.016320)",0.000000
"2022-05-17 21:10:03","(2.288404,1.041508,0.439833)","(2.372644,1.012183,0.091873)",0.000000
"2022-05-17 21:10:03","(2.298667,1.035146,0.393741)","(2.403641,0.970073,-0.077712)",0.000000
"2022-05-17 21:10:03","(2.307984,1.025388,0.347804)","(2.403284,0.925579,-0.122060)",0.000000
"2022-05-17 21:10:03","(2.314628,1.020200,0.312905)","(2.382583,0.967135,-0.044048)",0.000000
"2022-05-17 21:10:03","(2.322592,1.020938,0.266631)","(2.404052,1.028487,-0.206680)",0.000000
"2022-05-17 21:10:03","(2.329671,1.029752,0.228590)","(2.402077,1.119905,-0.160515)",0.000000
"2022-05-17 21:10:03","(2.337997,1.031479,0.183072)","(2.423159,1.049143,-0.282504)",0.000000
"2022-05-17 21:10:03","(2.347288,1.027905,0.142360)","(2.442319,0.991349,-0.274052)",0.000000
"2022-05-17 21:10:03","(2.356861,1.032813,0.107123)","(2.454780,1.083014,-0.253298)",RESET:110.000000
"2022-05-17 21:10:03","(2.370567,1.036698,0.062649)","(2.510757,1.076436,-0.392250)",0.000000
"2022-05-17 21:10:03","(2.384081,1.038289,0.020268)","(2.522305,1.054562,-0.413215)",0.000000
"2022-05-17 21:10:03","(2.394527,1.039388,-0.011313)","(2.501374,1.050629,-0.334346)",0.000000
"2022-05-17 21:10:04","(2.410214,1.039882,-0.056426)","(2.570667,1.044935,-0.517851)",0.000000
"2022-05-17 21:10:04","(2.423230,1.037413,-0.090212)","(2.556363,1.012160,-0.435797)",0.000000
"2022-05-17 21:10:04","(2.442138,1.028677,-0.134820)","(2.635537,0.939322,-0.591085)",0.000000
"2022-05-17 21:10:08","(0.139835,1.053402,-1.114881)","(-23.409039,1.306299,-11.139338)",0.000000
"2022-05-17 21:10:08","(0.095990,1.053459,-1.112417)","(-0.352477,1.054043,-1.087214)",0.000000
"2022-05-17 21:10:08","(0.052249,1.050395,-1.108587)","(-0.395149,1.019055,-1.069413)",0.000000
"2022-05-17 21:10:08","(0.020225,1.046552,-1.104097)","(-0.307329,1.007243,-1.058171)",0.000000
"2022-05-17 21:10:08","(-0.021920,1.042015,-1.096672)","(-0.453003,0.995609,-1.020727)",0.000000
"2022-05-17 21:10:08","(-0.055632,1.047452,-1.091446)","(-0.400447,1.103064,-1.037992)",0.000000
