20-05-2022_12-22-37 | Received virt pos: (0.055482,1.138910,2.117321)
20-05-2022_12-22-37 | Received real pos: (0.158519,1.259769,2.994102)
20-05-2022_12-22-37 | Recommend Rotation: 0.068973
20-05-2022_12-22-37 | Received virt pos: (0.062239,1.145720,2.180596)
20-05-2022_12-22-37 | Received real pos: (0.131361,1.215375,2.827858)
20-05-2022_12-22-37 | Recommend Rotation: 0.064065
20-05-2022_12-22-38 | Received virt pos: (0.071216,1.148491,2.265288)
20-05-2022_12-22-38 | Received real pos: (0.163044,1.176834,3.131637)
20-05-2022_12-22-38 | Recommend Rotation: 0.059343
20-05-2022_12-22-38 | Received virt pos: (0.079335,1.147563,2.351987)
20-05-2022_12-22-38 | Received real pos: (0.162366,1.138071,3.238638)
20-05-2022_12-22-38 | Recommend Rotation: 0.049429
20-05-2022_12-22-38 | Received virt pos: (0.084105,1.143324,2.417450)
20-05-2022_12-22-38 | Received real pos: (0.132903,1.099966,3.087150)
20-05-2022_12-22-38 | Recommend Rotation: 0.034758
20-05-2022_12-22-38 | Received virt pos: (0.088380,1.136732,2.508223)
20-05-2022_12-22-38 | Received real pos: (0.132097,1.069306,3.436740)
20-05-2022_12-22-38 | Recommend Rotation: 0.014270
20-05-2022_12-22-38 | Received virt pos: (0.090962,1.121690,2.599031)
20-05-2022_12-22-38 | Received real pos: (0.117376,0.967835,3.527859)
20-05-2022_12-22-38 | Recommend Rotation: 0.000794
20-05-2022_12-22-38 | Received virt pos: (0.090947,1.110980,2.665627)
20-05-2022_12-22-38 | Received real pos: (0.090790,1.001434,3.346676)
20-05-2022_12-22-38 | Recommend Rotation: -0.023303
20-05-2022_12-22-38 | Received virt pos: (0.088965,1.104898,2.759264)
20-05-2022_12-22-38 | Received real pos: (0.068702,1.042688,3.717121)
20-05-2022_12-22-38 | Recommend Rotation: -0.036432
20-05-2022_12-22-38 | Received virt pos: (0.087251,1.116080,2.836975)
20-05-2022_12-22-38 | Received real pos: (0.069711,1.230455,3.631858)
20-05-2022_12-22-38 | Recommend Rotation: -0.038701
20-05-2022_12-22-38 | Received virt pos: (0.086572,1.122011,2.929997)
20-05-2022_12-22-38 | Received real pos: (0.079622,1.182675,3.881324)
20-05-2022_12-22-38 | Recommend Rotation: -0.024588
20-05-2022_12-22-38 | Received virt pos: (0.089002,1.134808,3.013522)
20-05-2022_12-22-38 | Received real pos: (0.113858,1.265701,3.867882)
20-05-2022_12-22-38 | Recommend Rotation: 0.003717
20-05-2022_12-22-38 | Received virt pos: (0.093780,1.142797,3.078232)
20-05-2022_12-22-38 | Received real pos: (0.142652,1.224512,3.740217)
20-05-2022_12-22-38 | Recommend Rotation: 0.040912
20-05-2022_12-22-38 | Received virt pos: (0.102680,1.148407,3.163253)
20-05-2022_12-22-38 | Received real pos: (0.193723,1.205788,4.032907)
20-05-2022_12-22-38 | Recommend Rotation: 0.063999
20-05-2022_12-22-38 | Received virt pos: (0.111674,1.148799,3.246181)
20-05-2022_12-22-38 | Received real pos: (0.203665,1.152808,4.094209)
20-05-2022_12-22-38 | Recommend Rotation: 0.067131
20-05-2022_12-22-38 | Received virt pos: (0.118660,1.147006,3.309118)
20-05-2022_12-22-38 | Received real pos: (0.190115,1.128667,3.952886)
20-05-2022_12-22-38 | Recommend Rotation: 0.070810
20-05-2022_12-22-38 | Received virt pos: (0.128490,1.142936,3.393905)
20-05-2022_12-22-38 | Received real pos: (0.229039,1.101306,4.261215)
20-05-2022_12-22-38 | Recommend Rotation: 0.072473
20-05-2022_12-22-38 | Received virt pos: (0.135987,1.134948,3.456652)
20-05-2022_12-22-38 | Received real pos: (0.212668,1.053244,4.098413)
20-05-2022_12-22-38 | Recommend Rotation: 0.077475
20-05-2022_12-22-38 | Received virt pos: (0.145890,1.123037,3.537807)
20-05-2022_12-22-38 | Received real pos: (0.247179,1.001206,4.367990)
20-05-2022_12-22-38 | Recommend Rotation: 0.078129
20-05-2022_12-22-38 | Received virt pos: (0.155235,1.115781,3.618762)
20-05-2022_12-22-38 | Received real pos: (0.250823,1.041563,4.446809)
20-05-2022_12-22-38 | Recommend Rotation: 0.071507
20-05-2022_12-22-38 | Received virt pos: (0.162272,1.122624,3.679200)
20-05-2022_12-22-38 | Received real pos: (0.234245,1.192618,4.297355)
20-05-2022_12-22-38 | Recommend Rotation: 0.071086
20-05-2022_12-22-38 | Received virt pos: (0.172652,1.130761,3.765068)
20-05-2022_12-22-38 | Received real pos: (0.278834,1.213989,4.643381)
20-05-2022_12-22-38 | Recommend Rotation: 0.071229
20-05-2022_12-22-39 | Received virt pos: (0.179868,1.136644,3.843515)
20-05-2022_12-22-39 | Received real pos: (0.253671,1.196817,4.645863)
20-05-2022_12-22-39 | Recommend Rotation: 0.047452
20-05-2022_12-22-39 | Received virt pos: (0.184768,1.141844,3.905216)
20-05-2022_12-22-39 | Received real pos: (0.234896,1.195032,4.536216)
20-05-2022_12-22-39 | Recommend Rotation: 0.037154
20-05-2022_12-22-39 | Received virt pos: (0.190655,1.149823,3.988178)
20-05-2022_12-22-39 | Received real pos: (0.250849,1.231434,4.836916)
20-05-2022_12-22-39 | Recommend Rotation: RESET:110.000000
20-05-2022_12-22-39 | Received virt pos: (0.190655,1.149823,3.988178)
20-05-2022_12-22-39 | Received real pos: (0.250849,1.231434,4.836916)
20-05-2022_12-22-39 | Recommend Rotation: RESET:110.000000
20-05-2022_12-22-39 | Received virt pos: (0.190655,1.149823,3.988178)
20-05-2022_12-22-39 | Received real pos: (0.250849,1.231434,4.836916)
20-05-2022_12-22-39 | Recommend Rotation: RESET:110.000000
20-05-2022_12-22-39 | Received virt pos: (0.194129,1.150098,4.047958)
20-05-2022_12-22-39 | Received real pos: (0.229675,1.152911,4.659323)
20-05-2022_12-22-39 | Recommend Rotation: 0.000000
20-05-2022_12-22-39 | Received virt pos: (0.199062,1.148297,4.129787)
20-05-2022_12-22-39 | Received real pos: (0.249507,1.129875,4.966743)
20-05-2022_12-22-39 | Recommend Rotation: 0.000000
20-05-2022_12-22-39 | Received virt pos: (0.202937,1.142154,4.212654)
20-05-2022_12-22-39 | Received real pos: (0.242585,1.079321,5.060337)
