17-05-2022_20-23-52 | Received virt pos: (0.073337,1.120089,1.182169)
17-05-2022_20-23-52 | Received real pos: (0.073337,1.120089,1.182169)
17-05-2022_20-23-52 | Recommend Rotation: 0.187745
17-05-2022_20-23-52 | Received virt pos: (0.083896,1.121797,1.229177)
17-05-2022_20-23-52 | Received real pos: (0.083896,1.121797,1.229177)
17-05-2022_20-23-52 | Recommend Rotation: 0.154352
17-05-2022_20-23-52 | Received virt pos: (0.090099,1.121862,1.262341)
17-05-2022_20-23-52 | Received real pos: (0.090099,1.121862,1.262341)
17-05-2022_20-23-52 | Recommend Rotation: 0.115333
17-05-2022_20-23-52 | Received virt pos: (0.096507,1.122114,1.307561)
17-05-2022_20-23-52 | Received real pos: (0.096507,1.122114,1.307561)
17-05-2022_20-23-52 | Recommend Rotation: 0.068971
17-05-2022_20-23-52 | Received virt pos: (0.099808,1.120868,1.343000)
17-05-2022_20-23-52 | Received real pos: (0.099808,1.120868,1.343000)
17-05-2022_20-23-52 | Recommend Rotation: 0.020687
17-05-2022_20-23-52 | Received virt pos: (0.103075,1.116558,1.390320)
17-05-2022_20-23-52 | Received real pos: (0.103075,1.116558,1.390320)
17-05-2022_20-23-52 | Recommend Rotation: -0.002933
17-05-2022_20-23-52 | Received virt pos: (0.104452,1.107693,1.435717)
17-05-2022_20-23-52 | Received real pos: (0.104452,1.107693,1.435717)
17-05-2022_20-23-52 | Recommend Rotation: -0.040061
17-05-2022_20-23-52 | Received virt pos: (0.104479,1.103830,1.471206)
17-05-2022_20-23-52 | Received real pos: (0.104479,1.103830,1.471206)
17-05-2022_20-23-52 | Recommend Rotation: -0.067833
17-05-2022_20-23-52 | Received virt pos: (0.103944,1.101413,1.519883)
17-05-2022_20-23-52 | Received real pos: (0.103944,1.101413,1.519883)
17-05-2022_20-23-52 | Recommend Rotation: -0.076910
17-05-2022_20-23-52 | Received virt pos: (0.101022,1.105413,1.567023)
17-05-2022_20-23-52 | Received real pos: (0.101022,1.105413,1.567023)
17-05-2022_20-23-52 | Recommend Rotation: -0.123913
17-05-2022_20-23-52 | Received virt pos: (0.098160,1.113115,1.604039)
17-05-2022_20-23-52 | Received real pos: (0.098160,1.113115,1.604039)
17-05-2022_20-23-52 | Recommend Rotation: -0.135940
17-05-2022_20-23-52 | Received virt pos: (0.094881,1.122276,1.651284)
17-05-2022_20-23-52 | Received real pos: (0.094881,1.122276,1.651284)
17-05-2022_20-23-52 | Recommend Rotation: -0.124365
17-05-2022_20-23-52 | Received virt pos: (0.094179,1.123134,1.684336)
17-05-2022_20-23-52 | Received real pos: (0.094179,1.123134,1.684336)
17-05-2022_20-23-52 | Recommend Rotation: -0.074721
17-05-2022_20-23-52 | Received virt pos: (0.094419,1.123916,1.731145)
17-05-2022_20-23-52 | Received real pos: (0.094419,1.123916,1.731145)
17-05-2022_20-23-52 | Recommend Rotation: -0.046930
17-05-2022_20-23-52 | Received virt pos: (0.095958,1.125604,1.777420)
17-05-2022_20-23-52 | Received real pos: (0.095958,1.125604,1.777420)
17-05-2022_20-23-52 | Recommend Rotation: -0.018163
17-05-2022_20-23-52 | Received virt pos: (0.096684,1.126475,1.809461)
17-05-2022_20-23-52 | Received real pos: (0.096684,1.126475,1.809461)
17-05-2022_20-23-52 | Recommend Rotation: -0.028112
17-05-2022_20-23-52 | Received virt pos: (0.097759,1.127150,1.851401)
17-05-2022_20-23-52 | Received real pos: (0.097759,1.127150,1.851401)
17-05-2022_20-23-52 | Recommend Rotation: -0.024431
17-05-2022_20-23-53 | Received virt pos: (0.100126,1.126121,1.895510)
17-05-2022_20-23-53 | Received real pos: (0.100126,1.126121,1.895510)
17-05-2022_20-23-53 | Recommend Rotation: 0.003648
17-05-2022_20-23-53 | Received virt pos: (0.102844,1.122087,1.928956)
17-05-2022_20-23-53 | Received real pos: (0.102844,1.122087,1.928956)
17-05-2022_20-23-53 | Recommend Rotation: 0.030773
17-05-2022_20-23-53 | Received virt pos: (0.108968,1.114739,1.974298)
17-05-2022_20-23-53 | Received real pos: (0.108968,1.114739,1.974298)
17-05-2022_20-23-53 | Recommend Rotation: 0.082323
17-05-2022_20-23-53 | Received virt pos: (0.114274,1.108840,2.008770)
17-05-2022_20-23-53 | Received real pos: (0.114274,1.108840,2.008770)
17-05-2022_20-23-53 | Recommend Rotation: 0.099330
17-05-2022_20-23-53 | Received virt pos: (0.121946,1.103609,2.056205)
17-05-2022_20-23-53 | Received real pos: (0.121946,1.103609,2.056205)
17-05-2022_20-23-53 | Recommend Rotation: 0.104841
17-05-2022_20-23-53 | Received virt pos: (0.129906,1.099863,2.102255)
17-05-2022_20-23-53 | Received real pos: (0.129906,1.099863,2.102255)
17-05-2022_20-23-53 | Recommend Rotation: 0.113544
17-05-2022_20-23-53 | Received virt pos: (0.135414,1.105367,2.136467)
17-05-2022_20-23-53 | Received real pos: (0.135414,1.105367,2.136467)
17-05-2022_20-23-53 | Recommend Rotation: 0.100640
17-05-2022_20-23-53 | Received virt pos: (0.143600,1.118514,2.183434)
17-05-2022_20-23-53 | Received real pos: (0.143600,1.118514,2.183434)
17-05-2022_20-23-53 | Recommend Rotation: 0.111528
17-05-2022_20-23-53 | Received virt pos: (0.150393,1.121221,2.228264)
17-05-2022_20-23-53 | Received real pos: (0.150393,1.121221,2.228264)
17-05-2022_20-23-53 | Recommend Rotation: 0.087941
17-05-2022_20-23-53 | Received virt pos: (0.155939,1.121664,2.262038)
17-05-2022_20-23-53 | Received real pos: (0.155939,1.121664,2.262038)
17-05-2022_20-23-53 | Recommend Rotation: 0.099145
17-05-2022_20-23-53 | Received virt pos: (0.162618,1.122931,2.306811)
17-05-2022_20-23-53 | Received real pos: (0.162618,1.122931,2.306811)
17-05-2022_20-23-53 | Recommend Rotation: 0.083242
17-05-2022_20-23-53 | Received virt pos: (0.165665,1.125363,2.339698)
17-05-2022_20-23-53 | Received real pos: (0.165665,1.125363,2.339698)
17-05-2022_20-23-53 | Recommend Rotation: 0.027419
17-05-2022_20-23-53 | Received virt pos: (0.169629,1.127007,2.382060)
17-05-2022_20-23-53 | Received real pos: (0.169629,1.127007,2.382060)
17-05-2022_20-23-53 | Recommend Rotation: 0.028151
17-05-2022_20-23-53 | Received virt pos: (0.172759,1.126832,2.424938)
17-05-2022_20-23-53 | Received real pos: (0.172759,1.126832,2.424938)
17-05-2022_20-23-53 | Recommend Rotation: 0.007918
17-05-2022_20-23-53 | Received virt pos: (0.175265,1.124356,2.458467)
17-05-2022_20-23-53 | Received real pos: (0.175265,1.124356,2.458467)
17-05-2022_20-23-53 | Recommend Rotation: 0.009772
17-05-2022_20-23-53 | Received virt pos: (0.177531,1.116230,2.503854)
17-05-2022_20-23-53 | Received real pos: (0.177531,1.116230,2.503854)
17-05-2022_20-23-53 | Recommend Rotation: -0.014318
17-05-2022_20-23-53 | Received virt pos: (0.178205,1.105266,2.549047)
17-05-2022_20-23-53 | Received real pos: (0.178205,1.105266,2.549047)
17-05-2022_20-23-53 | Recommend Rotation: -0.048160
17-05-2022_20-23-53 | Received virt pos: (0.177068,1.099948,2.583774)
17-05-2022_20-23-53 | Received real pos: (0.177068,1.099948,2.583774)
17-05-2022_20-23-53 | Recommend Rotation: -0.094367
17-05-2022_20-23-53 | Received virt pos: (0.174687,1.097064,2.632218)
17-05-2022_20-23-53 | Received real pos: (0.174687,1.097064,2.632218)
17-05-2022_20-23-53 | Recommend Rotation: -0.108559
17-05-2022_20-23-53 | Received virt pos: (0.172204,1.101015,2.668864)
17-05-2022_20-23-53 | Received real pos: (0.172204,1.101015,2.668864)
17-05-2022_20-23-53 | Recommend Rotation: -0.125248
17-05-2022_20-23-54 | Received virt pos: (0.168529,1.112450,2.716755)
17-05-2022_20-23-54 | Received real pos: (0.168529,1.112450,2.716755)
17-05-2022_20-23-54 | Recommend Rotation: -0.131794
17-05-2022_20-23-54 | Received virt pos: (0.165469,1.120502,2.761036)
17-05-2022_20-23-54 | Received real pos: (0.165469,1.120502,2.761036)
17-05-2022_20-23-54 | Recommend Rotation: -0.122105
17-05-2022_20-23-54 | Received virt pos: (0.164293,1.120210,2.791524)
17-05-2022_20-23-54 | Received real pos: (0.164293,1.120210,2.791524)
17-05-2022_20-23-54 | Recommend Rotation: -0.090581
17-05-2022_20-23-54 | Received virt pos: (0.166083,1.122551,2.834942)
17-05-2022_20-23-54 | Received real pos: (0.166083,1.122551,2.834942)
17-05-2022_20-23-54 | Recommend Rotation: -0.010397
17-05-2022_20-23-54 | Received virt pos: (0.167854,1.124649,2.866870)
17-05-2022_20-23-54 | Received real pos: (0.167854,1.124649,2.866870)
17-05-2022_20-23-54 | Recommend Rotation: 0.003990
17-05-2022_20-23-54 | Received virt pos: (0.170812,1.128139,2.907483)
