17-05-2022_20-33-40 | Received virt pos: (0.000000,1.117600,0.000000)
17-05-2022_20-33-41 | Recommend Rotation: -0.000468
17-05-2022_20-33-41 | Received virt pos: (0.028667,1.097725,0.100309)
17-05-2022_20-33-41 | Received real pos: (0.072814,1.081687,0.361878)
17-05-2022_20-33-41 | Recommend Rotation: -0.030988
17-05-2022_20-33-41 | Received virt pos: (0.030807,1.095755,0.124407)
17-05-2022_20-33-41 | Received real pos: (0.052699,1.075604,0.370885)
17-05-2022_20-33-41 | Recommend Rotation: -0.052272
17-05-2022_20-33-41 | Received virt pos: (0.032588,1.091538,0.160096)
17-05-2022_20-33-41 | Received real pos: (0.050797,1.048404,0.525142)
17-05-2022_20-33-41 | Recommend Rotation: -0.046186
17-05-2022_20-33-41 | Received virt pos: (0.033550,1.087526,0.201770)
17-05-2022_20-33-41 | Received real pos: (0.043392,1.046490,0.628024)
17-05-2022_20-33-41 | Recommend Rotation: -0.045481
17-05-2022_20-33-41 | Received virt pos: (0.033810,1.084309,0.237113)
17-05-2022_20-33-41 | Received real pos: (0.036468,1.051404,0.598617)
17-05-2022_20-33-41 | Recommend Rotation: -0.053159
17-05-2022_20-33-41 | Received virt pos: (0.031546,1.072950,0.287409)
17-05-2022_20-33-41 | Received real pos: (0.008394,0.956766,0.801854)
17-05-2022_20-33-41 | Recommend Rotation: -0.055336
17-05-2022_20-33-41 | Received virt pos: (0.028708,1.062825,0.324919)
17-05-2022_20-33-41 | Received real pos: (-0.000322,0.959262,0.708585)
17-05-2022_20-33-41 | Recommend Rotation: -0.075070
17-05-2022_20-33-41 | Received virt pos: (0.022826,1.052816,0.376200)
17-05-2022_20-33-41 | Received real pos: (-0.037338,0.950441,0.900722)
17-05-2022_20-33-41 | Recommend Rotation: -0.073303
17-05-2022_20-33-41 | Received virt pos: (0.015703,1.051386,0.433600)
17-05-2022_20-33-41 | Received real pos: (-0.057157,1.036759,1.020708)
17-05-2022_20-33-41 | Recommend Rotation: -0.068423
17-05-2022_20-33-41 | Received virt pos: (0.009274,1.057694,0.478319)
17-05-2022_20-33-41 | Received real pos: (-0.056479,1.122214,0.935730)
17-05-2022_20-33-41 | Recommend Rotation: -0.083277
17-05-2022_20-33-41 | Received virt pos: (0.003427,1.066422,0.530273)
17-05-2022_20-33-41 | Received real pos: (-0.056381,1.155696,1.061682)
17-05-2022_20-33-41 | Recommend Rotation: -0.059904
17-05-2022_20-33-41 | Received virt pos: (-0.003435,1.074339,0.576850)
17-05-2022_20-33-41 | Received real pos: (-0.073627,1.155318,1.053253)
17-05-2022_20-33-41 | Recommend Rotation: -0.077636
17-05-2022_20-33-41 | Received virt pos: (-0.007603,1.081304,0.615361)
17-05-2022_20-33-41 | Received real pos: (-0.050233,1.152544,1.009271)
17-05-2022_20-33-41 | Recommend Rotation: -0.058824
17-05-2022_20-33-41 | Received virt pos: (-0.007754,1.088947,0.666847)
17-05-2022_20-33-41 | Received real pos: (-0.009292,1.167124,1.193467)
17-05-2022_20-33-41 | Recommend Rotation: 0.004700
17-05-2022_20-33-41 | Received virt pos: (-0.005407,1.094943,0.716268)
17-05-2022_20-33-41 | Received real pos: (0.018597,1.156272,1.221759)
17-05-2022_20-33-41 | Recommend Rotation: 0.032567
17-05-2022_20-33-41 | Received virt pos: (-0.003734,1.096296,0.752761)
17-05-2022_20-33-41 | Received real pos: (0.013373,1.110134,1.126029)
17-05-2022_20-33-41 | Recommend Rotation: 0.034150
17-05-2022_20-33-41 | Received virt pos: (-0.000852,1.094523,0.801396)
17-05-2022_20-33-41 | Received real pos: (0.028629,1.076388,1.298860)
17-05-2022_20-33-41 | Recommend Rotation: 0.037721
17-05-2022_20-33-41 | Received virt pos: (0.001927,1.091370,0.839813)
17-05-2022_20-33-41 | Received real pos: (0.030357,1.059120,1.232755)
17-05-2022_20-33-41 | Recommend Rotation: 0.048177
17-05-2022_20-33-41 | Received virt pos: (0.006132,1.085687,0.892538)
17-05-2022_20-33-41 | Received real pos: (0.049140,1.027560,1.431829)
17-05-2022_20-33-41 | Recommend Rotation: 0.046358
17-05-2022_20-33-41 | Received virt pos: (0.012938,1.078825,0.947868)
17-05-2022_20-33-41 | Received real pos: (0.082546,1.008637,1.513808)
17-05-2022_20-33-41 | Recommend Rotation: 0.069836
17-05-2022_20-33-41 | Received virt pos: (0.020186,1.076976,0.990163)
17-05-2022_20-33-41 | Received real pos: (0.094323,1.058063,1.422768)
17-05-2022_20-33-41 | Recommend Rotation: 0.105564
17-05-2022_20-33-42 | Received virt pos: (0.030416,1.076870,1.048191)
17-05-2022_20-33-42 | Received real pos: (0.135050,1.075786,1.641726)
17-05-2022_20-33-42 | Recommend Rotation: 0.095750
17-05-2022_20-33-42 | Received virt pos: (0.039758,1.082916,1.094503)
17-05-2022_20-33-42 | Received real pos: (0.135321,1.144758,1.568202)
17-05-2022_20-33-42 | Recommend Rotation: 0.116102
17-05-2022_20-33-42 | Received virt pos: (0.050654,1.092126,1.155618)
17-05-2022_20-33-42 | Received real pos: (0.162095,1.186329,1.780726)
17-05-2022_20-33-42 | Recommend Rotation: 0.089807
17-05-2022_20-33-42 | Received virt pos: (0.059773,1.092213,1.205804)
17-05-2022_20-33-42 | Received real pos: (0.153046,1.093103,1.719127)
17-05-2022_20-33-42 | Recommend Rotation: 0.094870
17-05-2022_20-33-42 | Received virt pos: (0.067615,1.091364,1.244925)
17-05-2022_20-33-42 | Received real pos: (0.147829,1.082680,1.645071)
17-05-2022_20-33-42 | Recommend Rotation: 0.111853
17-05-2022_20-33-42 | Received virt pos: (0.075647,1.090351,1.297876)
17-05-2022_20-33-42 | Received real pos: (0.157803,1.079989,1.839480)
17-05-2022_20-33-42 | Recommend Rotation: 0.069307
17-05-2022_20-33-42 | Received virt pos: (0.080187,1.088353,1.349299)
17-05-2022_20-33-42 | Received real pos: (0.126626,1.067917,1.875274)
17-05-2022_20-33-42 | Recommend Rotation: 0.024224
17-05-2022_20-33-42 | Received virt pos: (0.083534,1.085542,1.387728)
17-05-2022_20-33-42 | Received real pos: (0.117762,1.056789,1.780795)
17-05-2022_20-33-42 | Recommend Rotation: 0.024007
17-05-2022_20-33-42 | Received virt pos: (0.087461,1.080973,1.441804)
17-05-2022_20-33-42 | Received real pos: (0.127625,1.034240,1.994916)
17-05-2022_20-33-42 | Recommend Rotation: 0.012482
17-05-2022_20-33-42 | Received virt pos: (0.091173,1.077948,1.484897)
17-05-2022_20-33-42 | Received real pos: (0.129150,1.047007,1.925669)
17-05-2022_20-33-42 | Recommend Rotation: 0.022756
17-05-2022_20-33-42 | Received virt pos: (0.096323,1.069591,1.544015)
17-05-2022_20-33-42 | Received real pos: (0.149001,0.984113,2.148698)
17-05-2022_20-33-42 | Recommend Rotation: 0.022603
17-05-2022_20-33-42 | Received virt pos: (0.101074,1.062343,1.602471)
17-05-2022_20-33-42 | Received real pos: (0.149664,0.988207,2.200382)
17-05-2022_20-33-42 | Recommend Rotation: 0.018252
17-05-2022_20-33-42 | Received virt pos: (0.104674,1.059148,1.647165)
17-05-2022_20-33-42 | Received real pos: (0.141500,1.026468,2.104313)
17-05-2022_20-33-42 | Recommend Rotation: 0.017782
17-05-2022_20-33-42 | Received virt pos: (0.109795,1.062031,1.705685)
17-05-2022_20-33-42 | Received real pos: (0.162175,1.091520,2.304252)
17-05-2022_20-33-42 | Recommend Rotation: 0.022595
17-05-2022_20-33-42 | Received virt pos: (0.114324,1.075566,1.764778)
17-05-2022_20-33-42 | Received real pos: (0.160644,1.214008,2.369205)
17-05-2022_20-33-42 | Recommend Rotation: 0.014224
17-05-2022_20-33-42 | Received virt pos: (0.118222,1.079880,1.808779)
17-05-2022_20-33-42 | Received real pos: (0.158096,1.124005,2.258839)
17-05-2022_20-33-42 | Recommend Rotation: 0.023762
17-05-2022_20-33-42 | Received virt pos: (0.124053,1.084952,1.864935)
17-05-2022_20-33-42 | Received real pos: (0.183693,1.136830,2.439321)
17-05-2022_20-33-42 | Recommend Rotation: 0.034864
17-05-2022_20-33-43 | Received virt pos: (0.130307,1.088663,1.905435)
17-05-2022_20-33-43 | Received real pos: (0.194280,1.126620,2.319684)
17-05-2022_20-33-43 | Recommend Rotation: 0.076280
17-05-2022_20-33-43 | Received virt pos: (0.138217,1.090412,1.960220)
17-05-2022_20-33-43 | Received real pos: (0.219116,1.108302,2.520583)
17-05-2022_20-33-43 | Recommend Rotation: 0.064802
17-05-2022_20-33-43 | Received virt pos: (0.147475,1.090786,2.015002)
17-05-2022_20-33-43 | Received real pos: (0.242173,1.094611,2.575335)
17-05-2022_20-33-43 | Recommend Rotation: 0.082863
17-05-2022_20-33-43 | Received virt pos: (0.153974,1.088078,2.056929)
17-05-2022_20-33-43 | Received real pos: (0.220452,1.060380,2.485776)
17-05-2022_20-33-43 | Recommend Rotation: 0.073534
17-05-2022_20-33-43 | Received virt pos: (0.162961,1.082414,2.113714)
17-05-2022_20-33-43 | Received real pos: (0.254886,1.024480,2.694532)
17-05-2022_20-33-43 | Recommend Rotation: 0.073001
17-05-2022_20-33-43 | Received virt pos: (0.173005,1.074727,2.171805)
17-05-2022_20-33-43 | Received real pos: (0.275737,0.996102,2.765982)
17-05-2022_20-33-43 | Recommend Rotation: 0.083409
17-05-2022_20-33-43 | Received virt pos: (0.181091,1.069805,2.214271)
17-05-2022_20-33-43 | Received real pos: (0.263798,1.019461,2.648632)
17-05-2022_20-33-43 | Recommend Rotation: 0.099418
17-05-2022_20-33-43 | Received virt pos: (0.192738,1.065254,2.268949)
17-05-2022_20-33-43 | Received real pos: (0.311863,1.018704,2.828217)
17-05-2022_20-33-43 | Recommend Rotation: 0.113262
17-05-2022_20-33-43 | Received virt pos: (0.202458,1.068853,2.309282)
17-05-2022_20-33-43 | Received real pos: (0.301877,1.105666,2.721824)
17-05-2022_20-33-43 | Recommend Rotation: 0.138007
17-05-2022_20-33-43 | Received virt pos: (0.216877,1.079273,2.364643)
17-05-2022_20-33-43 | Received real pos: (0.364360,1.185853,2.930898)
17-05-2022_20-33-43 | Recommend Rotation: 0.146113
17-05-2022_20-33-43 | Received virt pos: (0.230809,1.085369,2.419385)
17-05-2022_20-33-43 | Received real pos: (0.373320,1.147721,2.979307)
17-05-2022_20-33-43 | Recommend Rotation: 0.140403
17-05-2022_20-33-43 | Received virt pos: (0.240210,1.087512,2.459680)
17-05-2022_20-33-43 | Received real pos: (0.336360,1.109432,2.871835)
17-05-2022_20-33-43 | Recommend Rotation: 0.126603
17-05-2022_20-33-43 | Received virt pos: (0.268863,1.093902,2.600452)
17-05-2022_20-33-43 | Received real pos: (0.561939,1.159261,4.040323)
17-05-2022_20-33-43 | Recommend Rotation: 0.093840
17-05-2022_20-33-43 | Received virt pos: (0.277885,1.091845,2.653465)
17-05-2022_20-33-43 | Received real pos: (0.370170,1.070806,3.195704)
17-05-2022_20-33-43 | Recommend Rotation: 0.070575
17-05-2022_20-33-43 | Received virt pos: (0.284441,1.087764,2.693626)
17-05-2022_20-33-43 | Received real pos: (0.351494,1.046022,3.104408)
17-05-2022_20-33-43 | Recommend Rotation: 0.065207
17-05-2022_20-33-43 | Received virt pos: (0.292621,1.079051,2.748683)
17-05-2022_20-33-43 | Received real pos: (0.376286,0.989931,3.311829)
17-05-2022_20-33-43 | Recommend Rotation: 0.053077
17-05-2022_20-33-43 | Received virt pos: (0.299655,1.068657,2.804758)
17-05-2022_20-33-43 | Received real pos: (0.371601,0.962343,3.378317)
17-05-2022_20-33-43 | Recommend Rotation: 0.034265
17-05-2022_20-33-43 | Received virt pos: (0.304240,1.065178,2.847373)
17-05-2022_20-33-43 | Received real pos: (0.351137,1.029593,3.283256)
17-05-2022_20-33-43 | Recommend Rotation: 0.017786
17-05-2022_20-33-43 | Received virt pos: (0.309868,1.062355,2.904936)
17-05-2022_20-33-43 | Received real pos: (0.367440,1.033480,3.493714)
17-05-2022_20-33-43 | Recommend Rotation: 0.011708
17-05-2022_20-33-43 | Received virt pos: (0.315087,1.070517,2.962595)
17-05-2022_20-33-43 | Received real pos: (0.368461,1.154000,3.552353)
17-05-2022_20-33-43 | Recommend Rotation: 0.005449
17-05-2022_20-33-43 | Received virt pos: (0.320279,1.075169,3.005017)
17-05-2022_20-33-43 | Received real pos: (0.373393,1.122752,3.438927)
17-05-2022_20-33-43 | Recommend Rotation: 0.032074
17-05-2022_20-33-44 | Received virt pos: (0.326988,1.081213,3.061245)
17-05-2022_20-33-44 | Received real pos: (0.395612,1.143034,3.636367)
17-05-2022_20-33-44 | Recommend Rotation: 0.030786
17-05-2022_20-33-44 | Received virt pos: (0.334550,1.085628,3.103823)
17-05-2022_20-33-44 | Received real pos: (0.411891,1.130787,3.539328)
17-05-2022_20-33-44 | Recommend Rotation: 0.080655
17-05-2022_20-33-44 | Received virt pos: (0.344458,1.088195,3.160031)
17-05-2022_20-33-44 | Received real pos: (0.445797,1.114451,3.734950)
17-05-2022_20-33-44 | Recommend Rotation: 0.079400
17-05-2022_20-33-44 | Received virt pos: (0.353710,1.087858,3.213745)
17-05-2022_20-33-44 | Received real pos: (0.448346,1.084411,3.763154)
17-05-2022_20-33-44 | Recommend Rotation: 0.076295
17-05-2022_20-33-44 | Received virt pos: (0.361928,1.086930,3.255181)
17-05-2022_20-33-44 | Received real pos: (0.445991,1.077439,3.679005)
17-05-2022_20-33-44 | Recommend Rotation: 0.098881
17-05-2022_20-33-44 | Received virt pos: (0.372555,1.082015,3.310458)
17-05-2022_20-33-44 | Received real pos: (0.481242,1.031742,3.875852)
17-05-2022_20-33-44 | Recommend Rotation: 0.093653
17-05-2022_20-33-44 | Received virt pos: (0.382743,1.074600,3.367484)
17-05-2022_20-33-44 | Received real pos: (0.486956,0.998756,3.950770)
17-05-2022_20-33-44 | Recommend Rotation: 0.082585
17-05-2022_20-33-44 | Received virt pos: (0.391275,1.069430,3.409822)
17-05-2022_20-33-44 | Received real pos: (0.478542,1.016549,3.842871)
17-05-2022_20-33-44 | Recommend Rotation: 0.102008
17-05-2022_20-33-44 | Received virt pos: (0.402782,1.063519,3.466022)
17-05-2022_20-33-44 | Received real pos: (0.520481,1.003059,4.040858)
17-05-2022_20-33-44 | Recommend Rotation: 0.104762
17-05-2022_20-33-44 | Received virt pos: (0.412786,1.063244,3.507586)
17-05-2022_20-33-44 | Received real pos: (0.515113,1.060431,3.932719)
17-05-2022_20-33-44 | Recommend Rotation: 0.135150
17-05-2022_20-33-44 | Received virt pos: (0.426915,1.068814,3.564369)
17-05-2022_20-33-44 | Received real pos: (0.571425,1.125787,4.145168)
17-05-2022_20-33-44 | Recommend Rotation: 0.139837
17-05-2022_20-33-44 | Received virt pos: (0.439280,1.076984,3.619808)
17-05-2022_20-33-44 | Received real pos: (0.565757,1.160550,4.186860)
17-05-2022_20-33-44 | Recommend Rotation: 0.117604
17-05-2022_20-33-44 | Received virt pos: (0.447143,1.081984,3.660947)
17-05-2022_20-33-44 | Received real pos: (0.527567,1.133126,4.081735)
17-05-2022_20-33-44 | Recommend Rotation: 0.090357
17-05-2022_20-33-44 | Received virt pos: (0.456867,1.084994,3.714499)
17-05-2022_20-33-44 | Received real pos: (0.556338,1.115781,4.262249)
17-05-2022_20-33-44 | Recommend Rotation: 0.082964
17-05-2022_20-33-44 | Received virt pos: (0.466059,1.088114,3.766671)
17-05-2022_20-33-44 | Received real pos: (0.560070,1.120027,4.300306)
17-05-2022_20-33-44 | Recommend Rotation: 0.078407
17-05-2022_20-33-44 | Received virt pos: (0.473432,1.090079,3.806989)
17-05-2022_20-33-44 | Received real pos: (0.548850,1.110177,4.219378)
17-05-2022_20-33-44 | Recommend Rotation: 0.084002
17-05-2022_20-33-44 | Received virt pos: (0.481393,1.089226,3.861596)
17-05-2022_20-33-44 | Received real pos: (0.562821,1.080502,4.420140)
17-05-2022_20-33-44 | Recommend Rotation: 0.053238
17-05-2022_20-33-44 | Received virt pos: (0.487462,1.086888,3.903338)
17-05-2022_20-33-44 | Received real pos: (0.549533,1.062973,4.330290)
17-05-2022_20-33-44 | Recommend Rotation: 0.052086
17-05-2022_20-33-44 | Received virt pos: (0.494677,1.080938,3.958574)
17-05-2022_20-33-44 | Received real pos: (0.568477,1.020079,4.523551)
17-05-2022_20-33-44 | Recommend Rotation: 0.041980
17-05-2022_20-33-44 | Received virt pos: (0.500051,1.070747,4.014727)
17-05-2022_20-33-44 | Received real pos: (0.555026,0.966510,4.589083)
17-05-2022_20-33-44 | Recommend Rotation: 0.012574
17-05-2022_20-33-45 | Received virt pos: (0.503214,1.066131,4.057705)
17-05-2022_20-33-45 | Received real pos: (0.535557,1.018916,4.497299)
17-05-2022_20-33-45 | Recommend Rotation: -0.010200
17-05-2022_20-33-45 | Received virt pos: (0.507326,1.064914,4.117232)
17-05-2022_20-33-45 | Received real pos: (0.549391,1.052466,4.726097)
17-05-2022_20-33-45 | Recommend Rotation: -0.009948
17-05-2022_20-33-45 | Received virt pos: (0.510771,1.069556,4.174152)
17-05-2022_20-33-45 | Received real pos: (0.546010,1.117036,4.756353)
17-05-2022_20-33-45 | Recommend Rotation: -0.018140
17-05-2022_20-33-45 | Received virt pos: (0.513893,1.077442,4.215857)
17-05-2022_20-33-45 | Received real pos: (0.545822,1.158104,4.642434)
17-05-2022_20-33-45 | Recommend Rotation: -0.008003
17-05-2022_20-33-45 | Received virt pos: (0.518199,1.082149,4.273158)
17-05-2022_20-33-45 | Received real pos: (0.562246,1.130294,4.859256)
17-05-2022_20-33-45 | Recommend Rotation: -0.003092
17-05-2022_20-33-45 | Received virt pos: (0.522820,1.085736,4.314752)
17-05-2022_20-33-45 | Received real pos: (0.570081,1.122425,4.740192)
17-05-2022_20-33-45 | Recommend Rotation: 0.027961
17-05-2022_20-33-45 | Received virt pos: (0.530786,1.090708,4.369562)
17-05-2022_20-33-45 | Received real pos: (0.612270,1.141563,4.930181)
17-05-2022_20-33-45 | Recommend Rotation: 0.061225
17-05-2022_20-33-45 | Received virt pos: (0.538903,1.091573,4.422283)
17-05-2022_20-33-45 | Received real pos: (0.621922,1.100420,4.961535)
17-05-2022_20-33-45 | Recommend Rotation: 0.070175
17-05-2022_20-33-45 | Received virt pos: (0.546220,1.091331,4.462665)
17-05-2022_20-33-45 | Received real pos: (0.621064,1.088856,4.875707)
17-05-2022_20-33-45 | Recommend Rotation: 0.094304
17-05-2022_20-33-45 | Received virt pos: (0.556721,1.087757,4.517621)
17-05-2022_20-33-45 | Received real pos: (0.664128,1.051201,5.079733)
17-05-2022_20-33-45 | Recommend Rotation: 0.105551
17-05-2022_20-33-45 | Received virt pos: (0.568477,1.080625,4.572191)
17-05-2022_20-33-45 | Received real pos: (0.688721,1.007677,5.130357)
17-05-2022_20-33-45 | Recommend Rotation: 0.128517
17-05-2022_20-33-45 | Received virt pos: (0.578170,1.073559,4.613437)
17-05-2022_20-33-45 | Received real pos: (0.677313,1.001285,5.035317)
17-05-2022_20-33-45 | Recommend Rotation: 0.145529
17-05-2022_20-33-45 | Received virt pos: (0.591992,1.065801,4.668037)
17-05-2022_20-33-45 | Received real pos: (0.733370,0.986449,5.226505)
17-05-2022_20-33-45 | Recommend Rotation: 0.162652
17-05-2022_20-33-45 | Received virt pos: (0.602653,1.060770,4.707320)
17-05-2022_20-33-45 | Received real pos: (0.711703,1.009311,5.109125)
17-05-2022_20-33-45 | Recommend Rotation: 0.177757
17-05-2022_20-33-45 | Received virt pos: (0.617247,1.060917,4.760036)
17-05-2022_20-33-45 | Received real pos: (0.766513,1.062420,5.299234)
17-05-2022_20-33-45 | Recommend Rotation: 0.181271
17-05-2022_20-33-45 | Received virt pos: (0.632613,1.070141,4.814548)
17-05-2022_20-33-45 | Received real pos: (0.789785,1.164487,5.372119)
17-05-2022_20-33-45 | Recommend Rotation: 0.182349
17-05-2022_20-33-45 | Received virt pos: (0.644054,1.073266,4.854260)
17-05-2022_20-33-45 | Received real pos: (0.761083,1.105231,5.260450)
17-05-2022_20-33-45 | Recommend Rotation: 0.189812
17-05-2022_20-33-45 | Received virt pos: (0.657700,1.076521,4.907387)
17-05-2022_20-33-45 | Received real pos: (0.797278,1.109815,5.450789)
17-05-2022_20-33-45 | Recommend Rotation: 0.162494
17-05-2022_20-33-45 | Received virt pos: (0.670113,1.079700,4.958230)
17-05-2022_20-33-45 | Received real pos: (0.797077,1.112216,5.478275)
17-05-2022_20-33-45 | Recommend Rotation: 0.151319
17-05-2022_20-33-45 | Received virt pos: (0.678126,1.080904,4.995619)
17-05-2022_20-33-45 | Received real pos: (0.760086,1.093219,5.378046)
17-05-2022_20-33-45 | Recommend Rotation: 0.124697
17-05-2022_20-33-46 | Received virt pos: (0.689084,1.081465,5.047370)
17-05-2022_20-33-46 | Received real pos: (0.801159,1.087203,5.576701)
17-05-2022_20-33-46 | Recommend Rotation: 0.123923
17-05-2022_20-33-46 | Received virt pos: (0.696459,1.078875,5.086329)
17-05-2022_20-33-46 | Received real pos: (0.771901,1.052383,5.484817)
17-05-2022_20-33-46 | Recommend Rotation: 0.103966
17-05-2022_20-33-46 | Received virt pos: (0.705727,1.073929,5.138833)
17-05-2022_20-33-46 | Received real pos: (0.800517,1.023339,5.675866)
17-05-2022_20-33-46 | Recommend Rotation: 0.095260
17-05-2022_20-33-46 | Received virt pos: (0.713729,1.063724,5.191632)
17-05-2022_20-33-46 | Received real pos: (0.795577,0.959344,5.731679)
17-05-2022_20-33-46 | Recommend Rotation: 0.075341
17-05-2022_20-33-46 | Received virt pos: (0.718529,1.057100,5.230886)
17-05-2022_20-33-46 | Received real pos: (0.767623,0.989347,5.632394)
17-05-2022_20-33-46 | Recommend Rotation: 0.045445
17-05-2022_20-33-46 | Received virt pos: (0.723812,1.052492,5.285729)
17-05-2022_20-33-46 | Received real pos: (0.777849,1.005359,5.846685)
17-05-2022_20-33-46 | Recommend Rotation: 0.024077
17-05-2022_20-33-46 | Received virt pos: (0.729967,1.053368,5.341539)
17-05-2022_20-33-46 | Received real pos: (0.792925,1.062328,5.912386)
17-05-2022_20-33-46 | Recommend Rotation: 0.035713
17-05-2022_20-33-46 | Received virt pos: (0.734513,1.056127,5.384186)
17-05-2022_20-33-46 | Received real pos: (0.781008,1.084347,5.820395)
17-05-2022_20-33-46 | Recommend Rotation: 0.030157
17-05-2022_20-33-46 | Received virt pos: (0.742646,1.061608,5.441714)
17-05-2022_20-33-46 | Received real pos: (0.825834,1.117670,6.030133)
17-05-2022_20-33-46 | Recommend Rotation: 0.062982
17-05-2022_20-33-46 | Received virt pos: (0.752259,1.069558,5.485868)
17-05-2022_20-33-46 | Received real pos: (0.850593,1.150874,5.937494)
17-05-2022_20-33-46 | Recommend Rotation: 0.131023
17-05-2022_20-33-46 | Received virt pos: (0.765083,1.076887,5.544321)
17-05-2022_20-33-46 | Received real pos: (0.896248,1.151851,6.142203)
17-05-2022_20-33-46 | Recommend Rotation: 0.131611
17-05-2022_20-33-46 | Received virt pos: (0.772908,1.078798,5.597704)
17-05-2022_20-33-46 | Received real pos: (0.852944,1.098345,6.143725)
17-05-2022_20-33-46 | Recommend Rotation: 0.068480
17-05-2022_20-33-46 | Received virt pos: (0.780636,1.075624,5.635279)
17-05-2022_20-33-46 | Received real pos: (0.859682,1.043158,6.019614)
17-05-2022_20-33-46 | Recommend Rotation: 0.125766
17-05-2022_20-33-46 | Received virt pos: (0.792084,1.067791,5.684908)
17-05-2022_20-33-46 | Received real pos: (0.909174,0.987672,6.192530)
17-05-2022_20-33-46 | Recommend Rotation: 0.151789
17-05-2022_20-33-46 | Received virt pos: (0.804937,1.056937,5.733658)
17-05-2022_20-33-46 | Received real pos: (0.936411,0.945918,6.232292)
17-05-2022_20-33-46 | Recommend Rotation: 0.183796
17-05-2022_20-33-46 | Received virt pos: (0.814956,1.050523,5.771482)
17-05-2022_20-33-46 | Received real pos: (0.917432,0.984919,6.158363)
17-05-2022_20-33-46 | Recommend Rotation: 0.182789
17-05-2022_20-33-46 | Received virt pos: (0.830111,1.045227,5.826435)
17-05-2022_20-33-46 | Received real pos: (0.985118,0.991058,6.388517)
17-05-2022_20-33-46 | Recommend Rotation: RESET:110.000000
17-05-2022_20-33-46 | Received virt pos: (0.842214,1.042575,5.868198)
17-05-2022_20-33-46 | Received real pos: (0.966012,1.015449,6.295365)
